Parent Path,Name,Href,OtherTOC,URL
,Reasoning models,../ai-services/openai/how-to/reasoning.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/reasoning?context=/azure/ai-foundry/context/context
,Responses API,../ai-services/openai/how-to/responses.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/responses?context=/azure/ai-foundry/context/context
,Computer use,../ai-services/openai/how-to/computer-use.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/computer-use?context=/azure/ai-foundry/context/context
,Function calling,../ai-services/openai/how-to/function-calling.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/function-calling?context=/azure/ai-foundry/context/context
,Predicted outputs,../ai-services/openai/how-to/predicted-outputs.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/predicted-outputs?context=/azure/ai-foundry/context/context
,Prompt caching,../ai-services/openai/how-to/prompt-caching.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/prompt-caching?context=/azure/ai-foundry/context/context
,Structured outputs,../ai-services/openai/how-to/structured-outputs.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/structured-outputs?context=/azure/ai-foundry/context/context
,Use vision-enabled chat,../ai-services/openai/gpt-v-quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/gpt-v-quickstart?context=/azure/ai-foundry/context/context
,Generate images,../ai-services/openai/dall-e-quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/dall-e-quickstart?context=/azure/ai-foundry/context/context
,Use GPT-4o in the real-time audio playground,../ai-services/openai/realtime-audio-quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/realtime-audio-quickstart?context=/azure/ai-foundry/context/context
,Audio generation,../ai-services/openai/audio-completions-quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/audio-completions-quickstart?context=/azure/ai-foundry/context/context
,Distillation (stored completions),../ai-services/openai/how-to/stored-completions.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/stored-completions?context=/azure/ai-foundry/context/context
