Parent Path,Name,Href,URL,Is External,ms.author,ms.topic,description,pivot,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,image_formats,portal_steps
Models > Azure OpenAI in Foundry Models > Concepts,Model router,ai-foundry/openai/concepts/model-router.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/model-router.md,False,pafarley,conceptual,Learn about the model router feature in Azure OpenAI in Azure AI Foundry Models.,,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filtering overview,ai-foundry/openai/concepts/content-filter.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter.md,False,pafarley,conceptual,Learn about the content filtering capabilities of Azure OpenAI.,,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filtering severity levels,ai-foundry/openai/concepts/content-filter-severity-levels.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter-severity-levels.md,False,pafarley,conceptual,"Overview of risk categories for content filtering in Azure OpenAI, including hate, fairness, sexual, violence, and more.",,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Prompt shields,ai-foundry/openai/concepts/content-filter-prompt-shields.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter-prompt-shields.md,False,pafarley,conceptual,"Learn about prompt shield content in Azure OpenAI, including user prompt attacks and indirect attack severity definitions.",,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Groundedness detection,ai-foundry/openai/concepts/content-filter-groundedness.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter-groundedness.md,False,pafarley,conceptual,Learn about the groundedness detection filter in Azure OpenAI in Azure AI Foundry Models.,,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Protected material detection,ai-foundry/openai/concepts/content-filter-protected-material.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter-protected-material.md,False,pafarley,conceptual,Learn about the Protected Material Detection Filter for identifying and flagging known protected text and code content in large language model outputs.,,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filter configurability,ai-foundry/openai/concepts/content-filter-configurability.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter-configurability.md,False,pafarley,conceptual,"Learn about configurability options for content filtering in Azure OpenAI, including adjustable thresholds and severity levels.",,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filter annotations,ai-foundry/openai/concepts/content-filter-annotations.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter-annotations.md,False,pafarley,conceptual,"Learn about annotations for content filtering in Azure OpenAI, including severity levels and optional models.",,,False,True,True,4,"python-new, python, powershell, javascrit",False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Document embedding in prompts,ai-foundry/openai/concepts/content-filter-document-embedding.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-filter-document-embedding.md,False,pafarley,conceptual,"Learn how to embed documents in prompts for Azure OpenAI, including JSON escaping and indirect attack detection.",,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content streaming,ai-foundry/openai/concepts/content-streaming.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/content-streaming.md,False,pafarley,conceptual,"Learn about content streaming options in Azure OpenAI, including default and asynchronous filtering modes, and their impact on latency and performance.",,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts,Default safety policies,ai-foundry/openai/concepts/default-safety-policies.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/default-safety-policies.md,False,pafarley,conceptual,Learn about the default Guidelines & controls policies that Azure OpenAI uses to flag content and ensure responsible use of the service.,,,False,True,True,2,"dalle, gpt-image-1",False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts,Prompt transformations,ai-foundry/openai/concepts/prompt-transformation.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/prompt-transformation.md,False,pafarley,conceptual,"Learn about the prompt transformation feature in Azure OpenAI DALL-E 3, how it works, and why it's necessary.",,,False,True,False,0,,True,2,.png,False
Models > Azure OpenAI in Foundry Models > Concepts,Customizing Large Language Models (LLMs),ai-foundry/openai/concepts/customizing-llms.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/customizing-llms.md,False,mbullwin,conceptual,Learn more about the concepts behind customizing an LLM with Azure OpenAI.,,,False,True,False,0,,False,0,,False
Models > Azure OpenAI in Foundry Models > Concepts,Embeddings,ai-foundry/openai/concepts/understand-embeddings.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/openai/concepts/understand-embeddings.md,False,mbullwin,tutorial,Learn more about how the Azure OpenAI embeddings API uses cosine similarity for document search and to measure similarity between texts.,,,False,True,False,0,,False,0,,False
